iter	Passed	Remaining
400	24584	36723
401	24610	36609
402	24646	36511
403	24800	36587
404	25211	37039
405	25295	37009
406	25329	36904
407	25386	36835
408	25568	36945
409	25719	37010
410	25762	36920
411	25806	36831
412	25858	36752
413	25896	36655
414	25931	36553
415	26012	36517
416	26116	36513
417	26143	36401
418	26201	36331
419	26235	36229
420	26277	36139
421	26322	36052
422	26364	35963
423	26400	35865
424	26427	35755
425	26468	35663
426	26518	35585
427	26653	35621
428	26693	35528
429	26731	35434
430	26763	35333
431	26836	35284
432	26906	35233
433	27160	35421
434	27213	35346
435	27342	35369
436	27468	35389
437	27627	35448
438	27755	35468
439	27806	35390
440	27924	35395
441	27996	35343
442	28026	35238
443	28058	35136
444	28092	35036
445	28114	34921
446	28134	34805
447	28153	34688
448	28170	34569
449	28196	34462
450	28213	34344
451	28233	34229
452	28253	34116
453	28271	34000
454	28293	33889
455	28434	33921
456	28661	34055
457	28733	34003
458	28768	33907
459	28784	33790
460	28826	33703
461	28867	33616
462	28893	33510
463	28913	33399
464	28986	33349
465	29076	33318
466	29146	33265
467	29379	33397
468	29447	33340
469	29511	33278
470	29687	33343
471	29824	33363
472	29892	33304
473	29939	33224
474	29998	33156
475	30045	33074
476	30120	33025
477	30211	32992
478	30246	32899
479	30351	32880
480	30458	32864
481	30529	32810
482	30619	32774
483	30693	32722
484	30755	32657
485	30864	32642
486	30917	32568
487	30996	32521
488	31066	32464
489	31133	32403
490	31268	32415
491	31378	32399
492	31455	32349
493	31502	32267
494	31604	32242
495	31701	32212
496	31793	32177
497	31893	32149
498	32034	32162
499	32100	32100
500	32158	32029
501	32205	31949
502	32258	31873
503	32329	31816
504	32390	31749
505	32452	31682
506	32489	31592
507	32536	31511
508	32584	31432
509	32635	31355
510	32678	31271
511	32728	31194
512	32774	31113
513	32895	31103
514	32977	31056
515	33032	30984
516	33145	30966
517	33222	30913
518	33293	30855
519	33384	30816
520	33446	30750
521	33496	30673
522	33613	30657
523	33728	30639
524	33781	30563
525	33831	30487
526	33894	30421
527	33954	30353
528	34063	30328
529	34113	30251
530	34160	30171
531	34228	30110
532	34284	30038
533	34340	29967
534	34403	29901
535	34442	29815
536	34781	29988
537	35003	30058
538	35228	30130
539	35362	30123
540	35411	30044
541	35464	29968
542	35492	29871
543	35521	29775
544	35544	29674
545	35568	29575
546	35595	29478
547	35616	29377
548	35638	29276
549	35657	29174
550	35686	29080
551	35708	28980
552	35730	28881
553	35749	28780
554	35770	28680
555	35806	28593
556	35838	28503
557	35873	28415
558	35916	28334
559	35960	28254
560	36028	28193
561	36055	28100
562	36084	28008
563	36137	27935
564	36221	27887
565	36381	27896
566	36509	27881
567	36580	27821
568	36633	27748
569	36683	27673
570	36742	27604
571	36801	27536
572	36892	27492
573	36970	27437
574	37030	27370
575	37106	27314
576	37158	27241
577	37336	27259
578	37433	27218
579	37494	27150
580	37550	27080
581	37689	27069
582	37754	27004
583	37815	26936
584	37858	26857
585	37917	26787
586	38076	26789
587	38166	26742
588	38224	26672
589	38278	26600
590	38326	26523
591	38388	26457
592	38432	26377
593	38482	26303
594	38527	26224
595	38589	26158
596	38635	26080
597	38693	26011
598	38748	25940
599	38975	25983
600	39317	26102
601	39495	26111
602	39677	26122
603	39724	26044
604	39785	25975
605	39839	25902
606	39990	25891
607	40056	25826
608	40109	25751
609	40175	25686
610	40283	25646
611	40375	25597
612	40434	25527
613	40489	25454
614	40586	25407
615	40639	25333
616	40677	25250
617	40723	25171
618	40808	25117
619	40864	25045
620	40992	25017
621	41050	24947
622	41098	24870
623	41193	24821
624	41292	24775
625	41358	24709
626	41418	24639
627	41467	24563
628	41525	24492
629	41625	24446
630	41681	24374
631	41746	24308
632	41807	24239
633	41839	24153
634	42003	24143
635	42051	24067
636	42084	23981
637	42111	23893
638	42175	23826
639	42228	23753
640	42294	23687
641	42343	23611
642	42401	23541
643	42432	23456
644	42502	23393
645	42560	23322
646	42605	23245
647	42663	23174
648	42761	23126
649	43586	23469
650	43618	23383
651	43649	23297
652	43680	23211
653	43711	23125
654	43728	23032
655	43745	22939
656	43766	22849
657	43841	22786
658	43988	22761
659	44030	22682
660	44063	22598
661	44088	22510
662	44124	22428
663	44236	22384
664	44261	22297
665	44311	22222
666	44340	22137
667	44371	22052
668	44404	21970
669	44440	21888
670	44524	21830
671	44573	21756
672	44638	21689
673	44678	21610
674	44717	21530
675	44746	21446
676	44790	21369
677	44828	21290
678	44854	21204
679	44905	21132
680	44928	21045
681	44957	20962
682	44997	20884
683	45029	20803
684	45052	20717
685	45078	20633
686	45108	20551
687	45137	20469
688	45166	20387
689	45191	20303
690	45216	20219
691	45245	20138
692	45278	20058
693	45301	19974
694	45340	19897
695	45395	19828
696	45429	19749
697	45472	19674
698	45499	19592
699	45526	19511
700	45564	19434
701	45596	19355
702	45676	19297
703	45708	19218
704	45755	19145
705	45780	19064
706	45805	18983
707	45831	18902
708	45860	18822
709	46005	18790
710	46052	18718
711	46066	18633
712	46267	18623
713	46304	18547
714	46362	18480
715	46432	18417
716	46542	18370
717	46580	18294
718	46618	18219
719	46650	18141
720	46669	18059
721	46692	17978
722	46724	17901
723	46764	17827
724	46846	17769
725	46896	17699
726	46926	17621
727	46981	17553
728	47020	17479
729	47061	17406
730	47110	17336
731	47149	17262
732	47196	17191
733	47230	17116
734	47279	17046
735	47326	16975
736	47386	16909
737	47448	16844
738	47488	16771
739	47515	16694
740	47582	16631
741	47619	16557
742	47653	16482
743	47684	16407
744	47717	16332
745	47768	16264
746	47808	16192
747	47838	16116
748	47881	16045
749	47915	15971
750	47955	15899
751	47989	15826
752	48034	15756
753	48078	15686
754	48146	15623
755	48174	15548
756	48264	15493
757	48301	15420
758	48329	15345
759	48363	15272
760	48395	15199
761	48437	15128
762	48493	15063
763	48536	14992
764	48569	14920
765	48607	14848
766	48652	14779
767	48758	14729
768	48835	14669
769	48930	14615
770	48979	14547
771	49012	14475
772	49050	14404
773	49097	14335
774	49134	14264
775	49227	14209
776	49259	14137
777	49309	14070
778	49352	14001
779	49400	13933
780	49430	13860
781	49471	13791
782	49505	13719
783	49530	13646
784	49555	13572
785	49577	13498
786	49605	13425
787	49642	13355
788	49673	13284
789	49816	13242
790	49849	13171
791	49886	13101
792	49921	13031
793	49957	12961
794	50003	12893
795	50037	12823
796	50075	12754
797	50109	12684
798	50140	12613
799	50164	12541
800	50205	12473
801	50245	12404
802	50708	12440
803	50750	12371
804	50788	12302
805	50836	12236
806	50876	12167
807	51461	12228
808	51853	12242
809	51900	12174
810	51950	12106
811	52035	12047
812	52189	12004
813	52235	11935
814	52422	11899
815	52462	11829
816	52483	11755
817	52516	11684
818	52800	11669
819	53432	11729
820	53565	11678
821	53590	11604
822	53612	11530
823	53710	11472
824	53741	11399
825	53771	11327
826	53805	11255
827	53837	11183
828	53867	11111
829	53911	11042
830	53941	10969
831	53974	10898
832	54010	10827
833	54058	10759
834	54087	10688
835	54116	10616
836	54152	10545
837	54189	10475
838	54316	10423
839	54354	10353
840	54393	10283
841	54434	10214
842	54462	10143
843	54489	10071
844	54521	10001
845	54542	9928
846	54568	9857
847	54596	9786
848	54619	9714
849	54651	9644
850	54696	9576
851	54725	9506
852	54776	9439
853	54848	9376
854	54895	9309
855	54925	9239
856	55053	9186
857	55197	9135
858	55232	9066
859	55268	8997
860	55303	8928
861	55437	8875
862	55474	8806
863	55509	8737
864	55547	8669
865	55584	8600
866	55616	8531
867	55641	8461
868	55666	8391
869	55698	8322
870	55741	8255
871	55777	8187
872	55883	8129
873	55926	8062
874	55967	7995
875	55999	7926
876	56035	7858
877	56296	7822
878	56359	7758
879	56468	7700
880	56534	7636
881	56613	7574
882	56672	7509
883	56721	7443
884	56764	7376
885	56812	7309
886	56867	7244
887	56915	7178
888	56960	7112
889	57016	7047
890	57054	6979
891	57095	6912
892	57147	6847
893	57190	6780
894	57278	6719
895	57429	6665
896	57486	6600
897	57523	6533
898	57573	6468
899	57612	6401
900	57654	6334
901	57678	6266
902	57897	6219
903	57969	6156
904	58040	6092
905	58074	6025
906	58124	5959
907	58165	5893
908	58207	5827
909	58512	5786
910	58558	5720
911	58610	5655
912	58676	5591
913	58823	5534
914	59129	5492
915	59192	5428
916	59241	5362
917	59302	5297
918	59341	5230
919	59390	5164
920	59535	5106
921	59631	5044
922	59709	4981
923	59767	4915
924	59867	4854
925	59914	4787
926	59963	4722
927	60008	4655
928	60070	4590
929	60141	4526
930	60223	4463
931	60283	4398
932	60364	4334
933	60395	4267
934	60438	4201
935	60626	4145
936	60685	4080
937	60750	4015
938	60790	3949
939	60838	3883
940	60902	3818
941	60954	3753
942	61083	3692
943	61146	3627
944	61188	3561
945	61216	3494
946	61283	3429
947	61332	3364
948	61381	3298
949	61454	3234
950	61491	3168
951	61525	3102
952	61560	3036
953	61589	2969
954	61732	2908
955	61770	2843
956	61811	2777
957	61853	2711
958	61888	2645
959	61923	2580
960	61979	2515
961	62028	2450
962	62089	2385
963	62153	2321
964	62189	2255
965	62225	2190
966	62253	2124
967	62289	2059
968	62360	1995
969	62400	1929
970	62434	1864
971	62467	1799
972	62549	1735
973	62591	1670
974	62652	1606
975	62682	1541
976	62765	1477
977	62791	1412
978	62826	1347
979	62852	1282
980	62885	1217
981	62935	1153
982	62958	1088
983	62989	1024
984	63017	959
985	63045	895
986	63088	830
987	63119	766
988	63151	702
989	63207	638
990	63242	574
991	63278	510
992	63306	446
993	63343	382
994	63386	318
995	63434	254
996	63466	190
997	63500	127
998	63531	63
999	63568	0
